Date,Colony,sub,Treatment,Treated.leaf,Hour,Forager.age,LS,HH,,,,,,,,
20190715,Scarlett,2,II,LS,7,Old,0,0,,,,,,,,
20190715,Scarlett,2,II,LS,7,Young,66,33,,,,,,,,
20190715,Scarlett,2,II,LS,7.5,Old,0,0,,,,,,,,
20190715,Scarlett,2,II,LS,7.5,Young,22,9,,,,,,,,
20190716,Scarlett,1,III,LS,0,Old,3,0,,,,,,,,
20190716,Scarlett,1,III,LS,0,Young,2,2,,,,,,,,
20190716,Scarlett,1,III,LS,1,Old,4,0,,,,,,,,
20190716,Scarlett,1,III,LS,1,Young,2,1,,,,,,,,
20190716,Scarlett,1,III,LS,2,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,2,Young,13,8,,,,,,,,
20190716,Scarlett,1,III,LS,3,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,3,Young,0,10,,,,,,,,
20190716,Scarlett,1,III,LS,4,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,4,Young,15,14,,,,,,,,
20190716,Scarlett,1,III,LS,5,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,5,Young,9,17,,,,,,,,
20190716,Scarlett,1,III,LS,6,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,6,Young,21,20,,,,,,,,
20190716,Scarlett,1,III,LS,7,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,7,Young,38,18,,,,,,,,
20190716,Scarlett,1,III,LS,7.5,Old,0,0,,,,,,,,
20190716,Scarlett,1,III,LS,7.5,Young,35,8,,,,,,,,
20190717,Greybeard,1,IV,LS,0,Old,0,0,,,,,,,,
20190717,Greybeard,1,IV,LS,0,Young,1,3,,,,,,,,
20190717,Greybeard,1,IV,LS,1,Old,0,1,,,,,,,,
20190717,Greybeard,1,IV,LS,1,Young,0,0,,,,,,,,
20190717,Greybeard,1,IV,LS,2,Old,2,8,,,,,,,,
20190717,Greybeard,1,IV,LS,2,Young,19,5,,,,,,,,
20190717,Greybeard,1,IV,LS,3,Old,8,14,,,,,,,,
20190717,Greybeard,1,IV,LS,3,Young,28,27,,,,,,,,
20190717,Greybeard,1,IV,LS,4,Old,0,0,,,,,,,,
20190717,Greybeard,1,IV,LS,4,Young,37,33,,,,,,,,
